Date	DateFormat	MaxPrecip	MaxSnowDpth	Precip	Snow	MaxTemp	MeanTemp	MinTemp
19960301	1-Mar-1996	452	25	1464	0	117	-16	50
19960401	1-Apr-1996	343	0	1303	0	208	23	118
19960501	1-May-1996	437	0	1396	0	276	99	188
19960601	1-Jun-1996	1008	0	2374	0	281	133	207
19960701	1-Jul-1996	914	0	2415	0	291	153	222
19960801	1-Aug-1996	732	0	3114	0	259	149	204
19960901	1-Sep-1996	1110	0	4046	0	227	111	169
19961001	1-Oct-1996	183	0	527	0	184	52	118
19961101	1-Nov-1996	1214	0	2396	0	108	-1	53
19961201	1-Dec-1996	1435	127	2895	114	91	-27	32
19970101	1-Jan-1997	523	76	2111	76	77	-34	22
19970201	1-Feb-1997	531	76	2341	46	115	-18	48
19970301	1-Mar-1997	1654	0	3338	0	187	25	106
19970401	1-Apr-1997	792	0	2491	0	198	16	107
19970501	1-May-1997	434	0	1234	0	226	67	146
19970601	1-Jun-1997	429	0	2126	0	237	129	183
19970701	1-Jul-1997	696	0	1515	0	294	156	225
19970801	1-Aug-1997	89	0	234	0	266	133	199
19970901	1-Sep-1997	711	0	1970	0	228	123	175
19971001	1-Oct-1997	587	0	1677	0	187	57	122
19971101	1-Nov-1997	173	0	833	0	103	-21	41
19971201	1-Dec-1997	305	127	1458	147	89	-31	29
19980101	1-Jan-1998	1943	127	5554	267	85	-22	31
19980201	1-Feb-1998	800	0	3317	0	102	-19	41
19980301	1-Mar-1998	866	25	2430	28	124	-1	61
19980401	1-Apr-1998	724	0	3417	0	192	41	116
19980501	1-May-1998	272	0	930	0	254	111	182
19980601	1-Jun-1998	224	0	1096	0	286	144	215
19980701	1-Jul-1998	173	0	554	0	278	165	222
19980801	1-Aug-1998	305	0	1237	0	282	148	215
19980901	1-Sep-1998	213	0	712	0	257	128	192
19981001	1-Oct-1998	922		2257	0	191	63	127
19981101	1-Nov-1998	841	0	1568	0	141	23	82
19981201	1-Dec-1998	417	51	1444	38	114	0	57
19990101	1-Jan-1999	886	0	2567	0	96	-24	36
19990201	1-Feb-1999	648	76	1936	89	101	-27	37
19990301	1-Mar-1999	191	102	1163	186	134	-17	59
19990401	1-Apr-1999	1270	0	1929	0	211	59	135
19990501	1-May-1999	325	0	874	0	248	77	163
19990601	1-Jun-1999	551	0	1701	0	245	127	186
19990701	1-Jul-1999	442	0	1531	0	266	162	214
19990801	1-Aug-1999	465	0	872	0	279	150	214
19990901	1-Sep-1999	749	0	1699	0	258	98	178
19991001	1-Oct-1999	1194	0	1901	0	182	54	118
19991101	1-Nov-1999	1488	0	2700	0	162	26	94
19991201	1-Dec-1999	551	0	1120	0	95	-35	30
20000101	1-Jan-2000	538	127	1448	147	75	-48	14
20000201	1-Feb-2000	391	76	861	0	126	-27	49
20000301	1-Mar-2000	391	0	936	0	184	9	97
20000401	1-Apr-2000	457	0	1878	0	201	34	117
20000501	1-May-2000	683	0	1314	0	269	103	186
20000601	1-Jun-2000	381	0	1582	0	263	137	200
20000701	1-Jul-2000	366	0	1684	0	267	163	215
20000801	1-Aug-2000	508	0	1604	0	275	153	214
20000901	1-Sep-2000	635	0	1897	0	213	117	165
20001001	1-Oct-2000	10	0	10	0	191	50	121
20001101	1-Nov-2000	1201	0	2489	127	114	3	58
20001201	1-Dec-2000	467	178	1068	280	47	-67	-10
20010101	1-Jan-2001	434	0	1326	13	67	-55	6
20010201	1-Feb-2001	546	0	1277	0	116	-15	51
20010301	1-Mar-2001	533	305	1498	337	123	-10	56
20010401	1-Apr-2001	97	0	329	0	230	60	145
20010501	1-May-2001	279	0	1272	0	243	90	167
20010601	1-Jun-2001	434	0	1972	0	238	135	186
20010701	1-Jul-2001	678	0	1754	0	244	158	201
20010801	1-Aug-2001	282	0	1074	0	259	167	213
20010901	1-Sep-2001	528	0	2029	0	228	109	168
20011001	1-Oct-2001	742	0	1217	0	182	28	105
20011101	1-Nov-2001	610	0	1182	0	175	17	96
20011201	1-Dec-2001	328	0	1178	0	113	-6	54
